Time (ms),Current (pA) @ -135mV,Current (pA) @ -125mV,Current (pA) @ -115mV,Current (pA) @ -105mV,Current (pA) @ -95mV,Current (pA) @ -85mV,Current (pA) @ -75mV,Current (pA) @ -65mV,Current (pA) @ -55mV
26.60380592,-0.262239926,-0.313448256,-0.376079645,-0.181792673,-0.106165932,-1.698676613,-1.516129528,-1.316762454,-1.076886721
26.62075021,-0.262230341,-0.313432663,-0.376071415,-0.182763559,-0.108762593,-1.698659686,-1.51617445,-1.316563716,-1.065674619
26.63769449,-0.262214615,-0.31341707,-0.37606342,-0.18291782,-0.111114459,-1.698647833,-1.516216515,-1.316383477,-1.054375583
26.65463877,-0.262194555,-0.313401477,-0.376053853,-0.182914962,-0.113021123,-1.698640149,-1.516255714,-1.316220835,-1.043963104
26.67158306,-0.262171969,-0.313385884,-0.376040905,-0.182909061,-0.114282181,-1.698635731,-1.516292033,-1.316074885,-1.035410672
26.68852734,-0.262148665,-0.313370291,-0.376022771,-0.182900106,-0.114699884,-1.698633675,-1.516325461,-1.315944724,-1.029691778
26.70547162,-0.262126449,-0.313354698,-0.375997641,-0.182888086,-0.114694996,-1.698633077,-1.516355988,-1.315829447,-1.027767243
26.72241591,-0.26210713,-0.313339105,-0.374673923,-0.182872988,-0.11468285,-1.698708248,-1.516383601,-1.315728151,-1.02774081
26.73936019,-0.262092516,-0.313323521,-0.369518241,-0.182854801,-0.114665253,-1.699536136,-1.516408289,-1.315639933,-1.027721714
26.75630447,-0.262084413,-0.313309486,-0.361367804,-0.182833514,-0.114644014,-1.701118136,-1.51643004,-1.315563887,-1.027708128
26.77324876,-0.26221585,-0.313297516,-0.351196103,-0.182809115,-0.11462094,-1.70325384,-1.516448843,-1.315499111,-1.027698228
26.79019304,-0.263152059,-0.313286721,-0.339976628,-0.182781593,-0.114597838,-1.705742842,-1.516464687,-1.315444701,-1.027690186
26.80713732,-0.264816579,-0.313276207,-0.32868287,-0.182584691,-0.114576517,-1.708384738,-1.51647756,-1.315399753,-1.027682179
26.82408161,-0.267009005,-0.313265083,-0.318288319,-0.179263107,-0.114558783,-1.710979119,-1.51648745,-1.315363363,-1.027672381
26.84102589,-0.269528929,-0.313252455,-0.309766467,-0.172466981,-0.114546445,-1.71332558,-1.516494346,-1.315334627,-1.027658966
26.85797017,-0.272175947,-0.313237433,-0.304090804,-0.163169803,-0.11454131,-1.715223715,-1.516498236,-1.315312642,-1.027640109
26.87491446,-0.274749651,-0.313219122,-0.302217217,-0.152345064,-0.115309804,-1.716473117,-1.51649911,-1.315296503,-1.027613984
26.89185874,-0.277049635,-0.313196632,-0.302187673,-0.140966256,-0.117742768,-1.716877323,-1.516496954,-1.315285308,-1.026277679
26.90880302,-0.278875494,-0.313169069,-0.30216126,-0.130006867,-0.121462551,-1.716872307,-1.516491759,-1.315278151,-1.022150099
26.92574731,-0.280026821,-0.312723794,-0.302137966,-0.120440389,-0.12608089,-1.716860062,-1.516483512,-1.31527413,-1.015915688
26.94269159,-0.280327471,-0.311394057,-0.302117779,-0.113240314,-0.131209518,-1.716842395,-1.516472202,-1.31527234,-1.008276515
26.95963587,-0.280321423,-0.309390389,-0.302100689,-0.10938013,-0.136460173,-1.716821114,-1.516457818,-1.315271878,-0.999934647
26.97658016,-0.280308379,-0.306928577,-0.302086683,-0.108970908,-0.141444588,-1.716798025,-1.516440347,-1.315547432,-0.991592153
26.99352444,-0.280290145,-0.304224408,-0.302075751,-0.108942953,-0.1457745,-1.716774937,-1.516419779,-1.317411202,-0.983951101
27.01046872,-0.28026853,-0.301493669,-0.30206788,-0.108918123,-0.149061645,-1.716753658,-1.516396101,-1.320704173,-0.977713561
